win,running,truecount,bet,dealcard,playhand,numhit,aceplay,acedeal,dealhandfinal,playerhandfinal,dealnumcard,dealbust,playbust,bjplay,bjdeal,split,ddown
1,0,0,5,5,14,1,1,0,24,14,5,1,0,0,0,0,0
0,0,0,-5,10,14,3,2,0,18,25,3,0,1,0,0,0,0
0,0,0,-5,7,12,1,0,0,21,20,5,0,0,0,0,0,0
1,0,0,6,9,21,0,1,1,20,21,4,0,0,1,0,0,0
0,0,0,0,4,13,1,0,1,19,19,3,0,0,0,0,0,0
1,0,0,5,9,20,0,0,0,17,20,2,0,0,0,0,0,0
1,0,0,5,6,16,0,0,0,25,16,3,1,0,0,0,0,0
1,0,0,10,7,12,0,2,0,26,20,3,1,0,0,0,1,0
1,0,0,5,8,18,0,0,0,22,18,4,1,0,0,0,0,0
0,0,0,-5,4,20,0,0,0,21,20,2,0,0,0,0,0,0
0,0,0,0,9,14,1,0,0,19,19,2,0,0,0,0,0,0
1,0,0,5,10,20,0,0,0,17,20,2,0,0,0,0,0,0
0,0,0,-5,3,12,0,0,0,19,12,2,0,0,0,0,0,0
0,0,0,-5,21,20,0,0,0,21,20,3,0,0,0,0,0,0
1,0,0,10,5,14,2,0,0,22,17,3,1,0,0,0,1,0
1,0,0,5,12,10,0,0,0,22,12,3,1,0,0,0,0,0
0,0,0,-5,5,14,0,0,0,18,14,2,0,0,0,0,0,0
1,0,0,5,10,19,0,0,0,25,19,3,1,0,0,0,0,0
1,0,0,5,8,9,1,1,0,18,20,3,0,0,0,0,0,0
1,0,0,5,3,17,0,0,0,22,17,3,1,0,0,0,0,0
1,0,0,5,4,20,0,0,0,23,20,4,1,0,0,0,0,0
1,0,0,5,10,15,1,0,0,18,20,3,0,0,0,0,0,0
1,0,0,5,7,17,1,1,0,24,16,3,1,0,0,0,0,0
1,0,0,5,10,14,1,0,0,22,18,3,1,0,0,0,0,0
0,0,0,0,9,19,0,1,0,19,19,3,0,0,0,0,0,0
0,0,0,0,8,10,1,1,0,21,21,4,0,0,0,0,0,1
0,0,0,-5,4,12,0,0,0,17,12,4,0,0,0,0,0,0
0,0,0,-5,21,4,3,0,1,21,26,2,0,1,0,1,0,0
0,0,0,-5,5,13,0,0,1,19,13,3,0,0,0,0,0,0
0,0,0,-5,10,16,1,0,0,20,26,2,0,1,0,0,0,0
1,0,0,6,10,21,0,1,0,20,21,2,0,0,1,0,0,0
1,0,0,5,3,12,1,0,0,25,17,4,1,0,0,0,0,0
0,0,0,-5,6,20,0,0,0,21,20,3,0,0,0,0,0,0
1,0,0,5,10,16,1,0,0,21,24,2,0,0,0,0,0,0
0,0,0,-5,10,13,2,1,0,19,18,3,0,0,0,0,0,0
0,0,0,-5,10,15,2,1,0,25,22,4,1,1,0,0,0,0
0,0,0,-5,4,16,0,0,0,19,16,3,0,0,0,0,0,0
1,0,0,5,10,20,0,0,0,26,20,4,1,0,0,0,0,0
1,0,0,5,10,11,2,1,0,23,17,3,1,0,0,0,0,0
1,0,0,5,10,18,0,0,0,25,18,3,1,0,0,0,0,0
1,0,0,5,8,14,2,1,0,24,18,3,1,0,0,0,0,0
1,0,0,5,7,16,1,0,0,22,20,3,1,0,0,0,0,0
0,0,0,-5,10,13,1,0,0,20,19,2,0,0,0,0,0,0
1,0,0,5,8,12,1,0,0,23,20,3,1,0,0,0,0,0
0,0,0,-5,21,20,0,0,1,21,20,2,0,0,0,1,0,0
1,0,0,5,7,12,1,0,0,18,21,3,0,0,0,0,0,0
0,0,0,-5,10,9,2,0,0,20,17,2,0,0,0,0,0,0
0,0,0,-5,10,5,2,0,0,19,25,2,0,1,0,0,0,0
1,0,0,5,8,20,0,1,0,24,20,4,1,0,0,0,0,0
0,0,0,-5,10,12,1,0,0,20,22,2,0,1,0,0,0,0
0,0,0,-10,4,4,2,0,1,19,12,3,0,0,0,0,1,1
